transaction_id,transaction_timestamp,item_id,user_email,user_id,quantity,price,referrer_url,landing_page_url,utm_source,utm_medium,utm_campaign,device_type,session_id,conversion_time_minutes
TXN00002477,2025-09-19 00:07:53,P10228,user011208@example.com,U011208,1,14536,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10228?utm_campaign=春夏新作-ドレス,youtube,cpc,春夏新作-ドレス,desktop,d4eb986c-5759-453f-ab14-158b7cb4a547,577
TXN00002478,2025-09-19 10:04:47,P10219,user002980@example.com,U002980,2,8622,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10219?utm_campaign=春夏新作-ドレス,youtube,cpc,春夏新作-ドレス,mobile,3579630a-3f8f-4f5f-b306-dc1010eeb28e,2352
TXN00002479,2025-09-19 08:09:01,P10312,user015337@example.com,U015337,1,9449,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10312?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,49ae2b8b-3703-4208-8122-a2befb751e49,1134
TXN00002480,2025-09-18 19:47:28,P10415,user001331@example.com,U001331,1,15069,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10415?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,c604686d-50ea-496a-ab15-808610db1053,2492
TXN00002481,2025-09-18 21:16:20,P10450,user014150@example.com,U014150,1,17167,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10450?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,f888bdcc-99ca-4574-ae58-a8a30b99d83f,1133
TXN00002482,2025-09-18 16:40:52,P10071,user014149@example.com,U014149,1,27554,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10071?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,07cf9c81-4002-4be2-83a2-f8c0b90beff5,158
TXN00002483,2025-09-18 22:48:19,P10131,user004457@example.com,U004457,1,10486,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10131?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,5ff9f3af-b668-4874-9c37-34bcc2dee65b,2326
TXN00002484,2025-09-18 22:53:20,P10043,user004165@example.com,U004165,1,17810,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10043?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,0e2b7245-f626-480f-bd37-b5d87de5f57e,92
TXN00002485,2025-09-19 00:10:02,P10302,user009488@example.com,U009488,1,23151,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10302?utm_campaign=春夏新作-ドレス,google,cpc,春夏新作-ドレス,mobile,25ee073c-8182-412d-b619-c2d275050cdb,2337
TXN00002486,2025-09-19 03:43:49,P10114,user008289@example.com,U008289,1,18561,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10114?utm_campaign=春夏新作-ドレス,google,cpc,春夏新作-ドレス,mobile,236986b3-41ac-4c41-a552-c81d791e0fea,2148
TXN00002487,2025-09-18 21:57:32,P10490,user016439@example.com,U016439,1,7356,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10490?utm_campaign=春夏新作-ドレス,google,cpc,春夏新作-ドレス,mobile,dd1edb01-cb5a-46c3-aad8-ed05192573e2,369
TXN00002488,2025-09-19 01:59:53,P10467,user008109@example.com,U008109,1,10549,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10467?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,desktop,d4604c77-653d-4e87-a1c1-c81c64b8803c,837
TXN00002489,2025-09-19 09:23:19,P10428,user008204@example.com,U008204,2,15313,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10428?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,mobile,dfce9512-a942-47cc-b43b-03109ccde802,2681
TXN00002490,2025-09-19 09:36:37,P10415,user001005@example.com,U001005,1,15069,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10415?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,desktop,899dcbcb-c064-4ffb-891e-985f104b95fa,2393
TXN00002491,2025-09-18 19:27:20,P10221,user019752@example.com,U019752,1,6391,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10221?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,mobile,43c7a61c-f9b4-4fe7-b661-41c59c872be3,1932
TXN00002492,2025-09-19 05:22:38,P10249,user017586@example.com,U017586,2,12068,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10249?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,mobile,9e1a0ee2-b425-45b0-85a4-e813be180c67,1772
TXN00002493,2025-09-19 08:32:51,P10248,user014225@example.com,U014225,3,26065,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10248?utm_campaign=春夏新作-ドレス,facebook,cpc,春夏新作-ドレス,mobile,5cf1e403-8e8c-4a9d-b9ec-c22919993938,2488
TXN00002494,2025-09-18 16:43:20,P10067,user016203@example.com,U016203,1,34818,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10067?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,a95d9384-9855-4766-a19d-9922819cc340,2490
TXN00002495,2025-09-18 17:21:18,P10160,user004169@example.com,U004169,2,7417,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10160?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,c29fd2f2-72a9-4f11-b195-3a5f2ceb9d1e,774
TXN00002496,2025-09-19 09:19:57,P10464,user011972@example.com,U011972,1,22053,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10464?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,34c41b9b-1810-4a63-88e8-9df9f3db3524,2348
TXN00002497,2025-09-18 17:17:45,P10374,user002497@example.com,U002497,2,31405,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10374?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,56120131-b664-4050-aab0-d421acbc42e6,1113
TXN00002498,2025-09-19 05:21:39,P10059,user007113@example.com,U007113,1,26132,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10059?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,6ff934e1-af4e-42e0-b96b-e2912c0f280e,970
TXN00002499,2025-09-19 10:51:11,P10315,user001078@example.com,U001078,1,34241,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10315?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,5284b0c3-fcf5-4fe5-be7c-da27d49c324a,1328
TXN00002500,2025-09-18 23:21:02,P10111,user004052@example.com,U004052,1,15760,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10111?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,dc90746c-6cbf-4229-b076-3ad2ff880373,2443
TXN00002501,2025-09-19 08:30:46,P10111,user002320@example.com,U002320,2,15760,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10111?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,0a89c62d-976c-48eb-9a99-6fb97b81f117,781
TXN00002502,2025-09-19 02:40:59,P10015,user006959@example.com,U006959,2,34298,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10015?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,4e9cb2e4-7c68-4ec8-850b-b52809905220,1015
TXN00002503,2025-09-18 21:09:31,P10327,user015258@example.com,U015258,2,8497,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10327?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,1d1a1559-4eda-48f3-9b19-acdffce3cc18,1090
TXN00002504,2025-09-18 23:37:47,P10103,user000395@example.com,U000395,1,12843,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10103?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,3dde15fa-80dd-46ae-ac4b-608c8e62c33a,399
TXN00002505,2025-09-19 13:12:39,P10178,user001059@example.com,U001059,2,16694,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10178?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,desktop,ba776f11-9bad-4f6e-91cb-df369860ed82,2007
TXN00002506,2025-09-19 07:18:09,P10269,user003260@example.com,U003260,1,32201,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10269?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,328dced6-7e0e-4d71-a21e-ec67ff904575,526
TXN00002507,2025-09-19 05:59:58,P10172,user003498@example.com,U003498,1,12263,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10172?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,a4e73881-1909-4afc-b0bc-a0411764c5e6,403
TXN00002508,2025-09-18 21:35:52,P10059,user019009@example.com,U019009,1,26132,https://ec.example.com/products?campaign=C002,https://ec.example.com/products/P10059?utm_campaign=セール-アウター,instagram,cpc,セール-アウター,mobile,70b037c4-76b5-48d7-a51f-41fce3ba25d0,2368
