transaction_id,transaction_timestamp,item_id,user_email,user_id,quantity,price,referrer_url,landing_page_url,utm_source,utm_medium,utm_campaign,device_type,session_id,conversion_time_minutes
TXN00006711,2025-10-10 22:22:08,P10302,user012407@example.com,U012407,1,23151,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10302?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,9224f22a-d254-44ff-9b15-ec5467fa71dc,2140
TXN00006712,2025-10-10 15:44:31,P10066,user004546@example.com,U004546,1,23569,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10066?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,050bef1b-89ab-47c9-acd0-dc6291e452dc,1541
TXN00006713,2025-10-11 00:45:15,P10079,user004379@example.com,U004379,2,22044,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10079?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,0e738697-be79-42a2-a965-278e986430d9,2373
TXN00006714,2025-10-11 02:17:58,P10302,user011352@example.com,U011352,1,23151,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10302?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,96e72b8b-4747-4530-8d00-7987cdc7ebd9,713
TXN00006715,2025-10-11 15:05:43,P10340,user003248@example.com,U003248,2,14286,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10340?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,tablet,e9bc00c8-ca31-4266-b5e1-a013ac1a6842,71
TXN00006716,2025-10-11 05:23:12,P10249,user002639@example.com,U002639,1,12068,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10249?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,160caf1b-a2c1-4312-b946-cc2bea41c9de,1935
TXN00006717,2025-10-11 15:19:07,P10249,user004414@example.com,U004414,3,12068,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10249?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,e5cd6e3f-1cff-4011-8365-56f6b0a05e61,255
TXN00006718,2025-10-11 11:27:48,P10359,user018776@example.com,U018776,1,17184,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10359?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,8913c44a-f5b4-4aa2-9c59-ffe008789ac8,745
TXN00006719,2025-10-10 22:46:15,P10294,user002787@example.com,U002787,1,19781,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10294?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,desktop,3c826725-c02d-4b3b-bbb0-7db605d4e611,200
TXN00006720,2025-10-10 18:26:04,P10244,user001394@example.com,U001394,1,23845,https://ec.example.com/products?campaign=C001,https://ec.example.com/products/P10244?utm_campaign=春夏新作-ドレス,instagram,cpc,春夏新作-ドレス,mobile,c37451ee-1278-4c24-b3a6-2ce7f90cc5d8,585
